#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
80        	4         	ok              	1.2920000000e-06	8.6160000000e+02	1.9965494488e+13	1.0861082193e+13	2.3617467826e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	4         	ok              	1.0000000000e-06	8.6340000000e+02	1.5420952577e+13	8.3888848408e+12	2.3617467740e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	4         	ok              	7.7430000000e-07	8.6610000000e+02	1.1903220102e+13	6.4752642694e+12	2.3617467609e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	4         	ok              	5.9950000000e-07	8.6940000000e+02	9.1810592800e+12	4.9944288260e+12	2.3617467415e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	4         	ok              	4.6420000000e-07	8.7410000000e+02	7.0707787810e+12	3.8464517838e+12	2.3617467095e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	4         	ok              	3.5940000000e-07	8.8080000000e+02	5.4328034168e+12	2.9554052723e+12	2.3617466535e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	4         	ok              	2.7830000000e-07	8.8970000000e+02	4.1647872573e+12	2.2656138593e+12	2.3617465580e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	4         	ok              	2.1540000000e-07	9.0180000000e+02	3.1802308344e+12	1.7300224741e+12	2.3617463939e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	4         	ok              	1.6680000000e-07	9.1840000000e+02	2.4181725691e+12	1.3154684854e+12	2.3617460844e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	4         	ok              	1.2920000000e-07	9.4110000000e+02	1.8278885914e+12	9.9435856101e+11	2.3617453387e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
